penguin_circuits	11.21	1.29967	121	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_9b8390b1
whale_spots	47.85	2.476	121	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_9e676570
teapot_lava2	0.453706	7.449	150	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_9ef4ba2d
whale_spots	2.81471	7.428	121	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_a2e9576f
teapot_porcelain	7.504	7.879	121	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_a38ff455
horse_metal	10.128	0.641824	121	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_a4ae793c
penguin_circuits	11.21	11.697	121	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_a76ed848
penguin_circuits	1.97824	0.688059	121	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_aa92d4b9
teapot_lava2	0.857	0.827667	150	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_ac65a8d9
teapot_lava2	2.571	7.449	150	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_afe9bc30
teapot_lava2	2.571	2.483	150	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_b1b56108
teapot_lava2	7.713	0.827667	150	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_c4fbf3d0
whale_spots	15.95	22.284	121	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_c6294dec
penguin_circuits	3.73667	1.29967	121	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_cb009600
whale_spots	47.85	22.284	121	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_cc9c15d5
penguin_circuits	33.63	0.688059	121	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_d24b3fc1
teapot_lava2	0.453706	0.827667	150	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_e025d500
horse_metal	3.376	0.641824	121	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_e1b74b01
horse_metal	1.12533	0.641824	121	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_e28223b3
spot_lava	0.892588	1.25867	150	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_e4f30b24
whale_spots	5.31667	2.476	121	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_e6e135b1
teapot_porcelain	2.50133	7.879	121	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_e80c0344
spot_lava	5.058	3.776	150	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_eab7ee62
teapot_porcelain	22.512	7.879	121	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_f50c1f16
spot_lava	5.058	1.25867	150	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_f62d80ce
penguin_circuits	1.97824	1.29967	121	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_f750665c
spot_lava	0.892588	3.776	150	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_f9683342
whale_spots	15.95	2.476	121	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_fb17e508
teapot_porcelain	2.50133	1.39041	121	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_fbd6bab8
teapot_porcelain	22.512	23.637	121	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_fd758862
teapot_porcelain	1.32424	2.62633	121	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_fdfbe067
spot_lava	15.174	3.776	150	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_ff382533
