arm,frame,entropy_all,cls_all,top1_all,entropy_vis,cls_vis,top1_vis,entropy_inv,cls_inv,top1_inv,attn_flicker,attn_drift,attn_flicker_vis,attn_flicker_inv,seconds
frozen,148,0.981751,0.560342,0.032292,0.981267,0.556095,0.033656,0.982057,0.563020,0.031432,8.341829e-03,1.407430e-01,8.441681e-03,8.278871e-03,1.31
frozen,149,0.981738,0.560389,0.032265,0.981258,0.556123,0.033639,0.982041,0.563079,0.031399,4.637203e-03,1.404545e-01,4.658131e-03,4.624007e-03,1.32
frozen,150,0.981703,0.560452,0.032335,0.981220,0.556198,0.033690,0.982007,0.563135,0.031481,5.265052e-03,1.413646e-01,5.235991e-03,5.283376e-03,1.32
rung14,1,0.988283,0.583025,0.031585,0.988083,0.578433,0.032358,0.988410,0.585920,0.031098,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.39
rung14,2,0.988464,0.582806,0.030506,0.988257,0.578242,0.031339,0.988595,0.585683,0.029981,2.194744e-02,2.194744e-02,2.261178e-02,2.152857e-02,1.40
rung14,3,0.988413,0.582829,0.030714,0.988201,0.578250,0.031579,0.988546,0.585716,0.030169,1.605476e-02,2.313520e-02,1.625114e-02,1.593093e-02,1.46
rung14,4,0.988379,0.582744,0.030355,0.988156,0.578143,0.031275,0.988520,0.585645,0.029775,1.484241e-02,2.357250e-02,1.509280e-02,1.468454e-02,1.40
rung14,5,0.988452,0.582730,0.030229,0.988248,0.578129,0.031007,0.988581,0.585632,0.029739,9.722626e-03,2.360105e-02,1.001230e-02,9.539982e-03,1.40
rung14,6,0.988502,0.583130,0.030686,0.988304,0.578552,0.031472,0.988627,0.586017,0.030191,1.285007e-02,2.608507e-02,1.298682e-02,1.276384e-02,1.40
rung14,7,0.988461,0.583280,0.030971,0.988258,0.578701,0.031823,0.988589,0.586168,0.030433,1.790591e-02,3.289174e-02,1.834513e-02,1.762898e-02,1.40
